26,34,960462,277180,26575,27356,26575,13056,9126,2683,0
29,54,39145,28225,20172,39551,20172,9933,5237,4750,0
40,48,75410,43144,8601,13564,8601,11663,2515,3251,0
66,47,16057,41211,2534,34254,2534,27663,11396,2825,0
81,67,10304,47239,33158,47349,33158,16328,5298,5471,0
69,54,95733,97816,22747,34873,22747,6898,7549,2603,0
57,67,38504,63547,48293,33267,48293,10078,2279,2055,0
56,77,57266,16194,22614,10379,22614,14633,8335,3583,0
51,70,1058339,117892,78062,23730,78062,18370,9872,9777,0
41,60,1734126,624883,86403,29780,86403,14859,8577,11765,0
51,51,274259,104009,28513,37515,28513,26183,10039,2756,0
27,56,155250,44705,68930,18211,68930,6704,3538,3379,0
37,50,118607,113964,2649,14545,2649,7736,3012,2264,0
26,63,1175124,58878,63677,38922,63677,11030,4906,5278,0
20,66,1708501,107221,125052,128520,125052,11176,1981,1185,0
38,64,933514,45238,13091,30073,13091,19514,5426,1274,0
26,84,481922,77837,24034,27190,24034,2876,4283,5088,2
29,84,33204,22843,21726,29561,21726,7160,4512,2102,0
44,60,233332,38133,8307,5321,8307,5046,979,727,0
26,63,1657292,103328,18075,81947,18075,10838,5793,3452,0
37,51,894843,159700,30751,12135,30751,9387,7781,1949,0
35,53,62167,29407,9125,50357,9125,6358,2649,2201,0
16,66,92627,26480,23890,2216,23890,1113,454,623,0
13,57,764906,180762,36579,33419,36579,11126,7212,2012,0
11,63,87540,41804,3691,14693,3691,2548,2449,3030,0
3,51,82608,111717,37440,40423,37440,7454,2490,2513,0
13,51,518298,77716,57933,15761,57933,7577,5119,2544,0
10,53,145068,115288,30390,22957,30390,5363,3402,1520,0
7,47,285887,112162,11440,16267,11440,3979,5920,5510,0
1,50,143111,22844,12910,6759,12910,1018,717,1636,0
1,61,322747,43254,89438,23927,89438,8560,2540,4806,0
11,77,159062,50008,42006,49483,42006,9739,5554,1842,0
16,90,1044124,66350,10056,47177,10056,5918,4420,3534,0
27,100,169247,18878,14411,55087,14411,5175,2543,2215,0
29,94,107407,24640,11876,23997,11876,3845,1039,3372,0
27,97,42545,19843,28168,29408,28168,4312,4867,1709,0
40,78,157001,13143,24497,27184,24497,9525,3454,2880,0
38,75,179005,47528,39379,11219,39379,6141,1739,3556,0
48,78,99174,9216,2419,50296,2419,7810,4636,4663,0
43,100,227904,93367,39339,34705,39339,5217,2633,2738,0
40,100,253462,30669,40470,51553,40470,13952,4095,2247,0
34,100,67063,53009,28593,43035,28593,4975,6515,1268,0
21,93,253587,66574,24104,47915,24104,6643,3132,2313,0
48,90,88833,19272,9301,14354,9301,13936,3060,1614,0
30,56,70844,125880,13773,8511,13773,4022,1452,1172,0
24,51,347412,129769,50203,57576,50203,5372,4114,3133,0
26,51,224706,79446,54969,30513,54969,8850,2988,1578,0
1,37,207380,198596,28722,4774,28722,4421,2760,2232,0
4,56,128446,37960,7551,28977,7551,5458,4495,1409,0
24,57,589351,38760,39689,9638,39689,10725,5318,4236,1
26,40,146491,56441,4762,9976,4762,4168,3879,2010,0
38,53,19908,16833,6235,4345,6235,1407,580,534,0
51,38,51258,12260,2879,3518,2879,3690,2458,2569,0
47,38,8379,12060,6452,7356,6452,2054,2638,2579,0
43,41,177909,27224,7249,2341,7249,1601,1370,577,0
48,53,64671,33275,2887,55977,2887,7305,2350,3011,0
38,84,27609,9794,34508,93631,34508,10560,3945,2008,0
38,91,8194,11025,8643,53768,8643,6263,3654,1718,0
38,97,46110,35842,9197,26265,9197,3293,2133,1869,0
17,74,128139,26557,2841,3274,2841,483,328,293,0
10,35,453638,61289,5323,3313,5323,2774,1775,1610,0
1,13,1201195,147122,42362,14536,42362,7338,8270,3417,0
7,11,36661,45209,32250,14835,32250,7669,2181,1479,0
20,29,64095,35469,41076,19644,41076,4405,2836,2118,0
20,41,77350,77697,15332,17461,15332,3966,1997,2739,0
23,56,82705,36598,35385,50655,35385,6119,2268,2964,0
21,54,18959,37926,8785,15868,8785,5099,9260,3530,0
26,50,47050,21932,15684,15008,15684,3591,4078,4552,0
63,47,28778,17745,17746,4599,17746,5561,1016,2367,0
48,51,91892,91897,13385,77841,13385,4278,4877,2472,0
44,53,1428861,66401,25972,43443,25972,7420,2045,1111,0
27,40,115907,122779,17580,9120,17580,9831,4622,1457,0
23,43,37611,22541,4605,26458,4605,5246,7818,1812,0
38,44,23595,16253,2565,21961,2565,3210,2752,1534,0
50,44,126598,47378,2354,66890,2354,15699,3679,1963,0
69,51,34653,2838,2140,1556,2140,1983,1035,451,0
81,51,34338,13294,14835,9238,14835,9373,2401,1535,0
84,54,95843,22958,17978,39379,17978,7743,1962,3744,0
67,60,51970,32012,41157,21005,41157,3543,2411,1396,0
43,74,24298,26397,8093,41599,8093,3100,4222,1841,0
40,75,95055,2095,6363,4748,6363,2484,2419,1354,0
51,61,41668,18620,11789,3787,11789,8677,1515,4932,0
48,56,90106,46058,22135,29267,22135,2868,4832,3354,0
60,54,403664,19692,13609,22629,13609,6089,5343,4877,0
50,48,162608,9979,4682,2077,4682,1373,1630,747,0
37,48,701524,95217,22391,28486,22391,12862,7468,9303,1
47,51,668109,95052,166427,44530,166427,21955,27788,13303,0
30,48,264659,21853,7859,9423,7859,1166,4116,1641,0
23,48,50864,53660,19955,20654,19955,3388,3122,1636,0
21,63,115581,20107,14371,39348,14371,5922,5244,4415,0
24,69,3380,12631,8470,50231,8470,6562,2946,3873,0
20,56,104720,115479,7995,17039,7995,3220,3313,5947,0
43,57,27373,21222,5157,18083,5157,11515,3509,2549,0
54,56,7823,10528,2626,37648,2626,9170,2340,2274,0
74,37,5559,12695,3499,4829,3499,8753,6461,2077,0
93,43,113370,41242,10898,16064,10898,7994,3619,2932,0
87,24,605986,148067,3302,11665,3302,24949,8258,3405,0
66,11,322759,101449,11592,47914,11592,5561,1885,2905,0
51,11,58968,48611,7115,16795,7115,3882,2320,987,0
48,29,40853,28149,19248,5245,19248,6129,2705,2194,0
61,38,60294,13506,1567,18347,1567,3802,2149,2455,0
56,56,58627,11681,22511,42386,22511,14295,4657,3166,0
54,56,25256,56127,18004,9807,18004,3704,2083,3092,0
48,61,18394,56472,3479,55665,3479,7886,2893,4436,1
51,51,52141,23967,7469,6449,7469,5151,6020,2891,0
48,44,116495,14008,7196,18522,7196,5822,1227,3561,0
57,53,186220,36836,13086,3503,13086,7637,4324,1611,0
53,60,139458,43488,30831,21332,30831,7684,2121,2230,0
43,67,263190,15649,37713,23147,37713,5428,2272,2018,0
51,63,118794,11973,16450,4736,16450,3137,2048,1966,0
53,64,333993,29620,9814,11083,9814,8089,3083,3905,0
51,64,94197,50822,45170,10473,45170,7808,3349,5097,0
47,54,239977,51194,41901,17964,41901,4847,2644,2188,0
43,48,432061,98218,44638,16473,44638,10068,13700,21380,0
29,29,186897,162550,9196,6109,9196,10126,3418,3605,0
29,30,228342,41260,20276,35830,20276,6932,3111,1386,0
23,23,46456,132042,20690,28508,20690,5534,2059,2856,0
23,26,653465,115937,2608,9715,2608,4865,4003,1740,0
35,27,85992,18731,15430,24149,15430,10554,2796,2447,0
47,35,876033,44907,35873,8746,35873,6193,3602,4463,0
37,35,188276,49029,38139,5868,38139,3956,4834,2517,0
44,51,245213,18641,7352,4358,7352,2159,1216,1064,0
24,35,1442585,312982,40749,21087,40749,11555,9117,12002,0
34,41,222223,73224,75791,136502,75791,44288,9798,2981,0
29,48,107968,13725,2909,21037,2909,1430,1364,928,0
43,56,29839,10993,11214,36082,11214,12312,4687,1829,0
53,74,798530,20411,7022,25651,7022,3830,4333,7350,0
41,81,42201,8637,7482,84162,7482,5979,6214,1979,0
60,77,33033,16275,10187,9598,10187,5951,5248,3042,0
40,63,117329,23600,3321,4667,3321,1415,1590,1217,0
40,53,1083477,134478,49849,21961,49849,15276,22015,13682,0
47,29,409046,88662,5277,28100,5277,11567,4080,3206,0
38,21,89144,50042,9036,9482,9036,6055,5141,3177,0
53,41,48962,16284,15535,47563,15535,12293,7332,3019,0
54,40,152657,40734,7138,10843,7138,4762,5258,3130,0
47,34,142698,104020,6446,13884,6446,6472,3005,3292,0
34,34,237004,97497,5324,29151,5324,4093,2887,3420,0
35,26,165447,39603,7252,47357,7252,9994,2662,2467,1
27,41,286389,94509,41395,47919,41395,5138,2715,3651,0
43,56,26367,13775,11863,36126,11863,6980,3729,1844,0
40,61,186927,45045,3334,33522,3334,7622,4882,4087,0
20,43,392239,222061,18829,23730,18829,6005,2349,2081,0
26,35,69671,64541,10287,15634,10287,3861,2802,1640,0
23,23,46742,48295,12712,15034,12712,6902,5305,1738,0
21,37,18608,6021,11936,21823,11936,2956,3852,2335,0
26,63,32924,34622,27091,76585,27091,4712,3888,2357,0
30,77,33900,27600,21580,33596,21580,5204,3605,1279,0
37,93,42126,7015,16758,27083,16758,6661,3895,1073,0
41,80,36425,22702,18742,5867,18742,5394,4810,4699,0
61,64,12434,17035,6790,15592,6790,7035,4456,2856,0
74,54,49387,11053,5784,3913,5784,3821,4338,4078,0
74,43,109393,14212,4021,10439,4021,4037,3719,4778,0
70,48,76424,18223,14253,12322,14253,3869,2573,2847,0
69,54,32836,31096,4421,46306,4421,12263,2699,2558,0
64,54,96533,30564,9571,14900,9571,6333,2264,1420,0
53,51,898800,123621,26508,39354,26508,9252,4439,2945,0
56,47,89895,53730,9845,32270,9845,12938,4721,2203,0
57,35,111305,24318,2416,5987,2416,5155,1475,1232,0
40,24,1050269,705154,46572,85694,46572,21585,9749,7948,0
53,23,707021,140776,80111,35539,80111,44120,27541,20064,0
53,17,46611,6587,2319,2106,2319,1358,1853,1059,0
40,24,154114,48035,8757,20301,8757,4097,3793,761,0
54,40,1680426,101773,111877,13190,111877,19226,17861,12266,0
44,26,605089,95385,12645,28145,12645,19429,17105,2760,0
60,21,756692,98888,13669,16068,13669,28140,7526,3687,0
60,20,503957,64200,27248,15920,27248,10128,5114,1862,0
63,43,1948949,112566,42235,38170,42235,13431,6318,2525,0
40,47,798391,179862,37730,51102,37730,6018,2264,1114,0
27,48,1010119,68034,9203,14917,9203,7212,4784,1944,0
11,44,247980,99167,29896,4347,29896,3286,1623,3391,0
1,34,49187,25097,592,3470,592,664,558,729,0
14,34,122622,41746,10078,12383,10078,5708,5057,2896,0
11,43,8292,37932,295,47794,295,5420,7157,2680,0
35,50,178475,25859,9567,20414,9567,8400,3448,3109,0
38,74,31805,21307,50805,41101,50805,3145,4308,3492,0
30,83,317517,46371,20432,44247,20432,5131,3450,2094,1
37,84,82187,4083,8510,33519,8510,4291,3221,3364,0
40,90,14358,11455,4962,24927,4962,8923,2722,2137,0
41,80,582067,67229,25363,37584,25363,4563,3774,2833,0
47,80,264875,44426,33720,42656,33720,8962,3584,2005,0
40,74,358120,43158,2075,27001,2075,3894,2524,2940,0
20,63,150356,168597,22137,40768,22137,8637,4419,2660,0
35,67,36855,29706,11100,51084,11100,10617,6343,10386,0
37,74,65033,7562,27156,17305,27156,4717,4000,1605,0
29,77,157584,69146,22852,52352,22852,4215,3176,2333,0
51,60,211259,12384,3154,4189,3154,4635,1989,2510,0
50,53,398057,79644,13261,92718,13261,14464,2555,3706,0
69,44,163534,23816,5167,6702,5167,6073,2302,1728,0
77,53,5767,10279,7808,13421,7808,6634,7244,2776,0
61,63,398990,27108,21572,23736,21572,4796,7294,2661,0
47,50,24167,23651,4037,511,4037,676,817,436,0
37,53,635084,38819,3155,22957,3155,4538,3124,2165,0
26,57,293937,42173,31304,43347,31304,10271,6024,2529,0
35,41,318798,53805,3683,4396,3683,8865,5177,1564,0
56,48,161454,14207,15336,4642,15336,5580,1963,5179,2
64,48,55732,28783,7435,15038,7435,6158,5354,1739,0
66,43,791192,268530,187175,113101,187175,59800,72301,16969,0
60,53,3598743,223352,31552,93179,31552,28184,11670,17143,0
43,47,363152,51114,12690,4618,12690,3616,1526,2012,0
37,43,636502,266539,91408,51616,91408,25487,9591,4552,0
30,41,289370,56922,9043,9936,9043,4399,2512,2448,0
27,38,979218,75150,10181,11285,10181,5511,1436,695,0
40,47,53487,33978,6687,30201,6687,10822,3417,1953,0
51,50,108300,16187,9289,5945,9289,4636,5055,2298,0
54,56,71420,41582,11324,23372,11324,6167,6575,6000,0
63,57,91439,13103,2355,4232,2355,2141,1760,914,2
41,61,109524,56496,30218,73694,30218,3763,5086,1788,0
34,63,213409,15590,1602,12449,1602,2067,2260,357,0
35,64,399376,33311,19827,53670,19827,10301,2672,3396,0
20,61,229744,19552,5024,1029,5024,843,433,381,0
35,35,63939,68894,2915,643,2915,5475,3579,3070,0
26,21,182142,209101,23040,11857,23040,10158,3667,2811,0
21,16,315182,72768,28264,2408,28264,6537,2743,1863,0
21,29,718591,83162,94400,29281,94400,6835,3947,2626,0
24,50,272676,38030,17379,8341,17379,6223,1002,1498,2
14,53,536630,174520,35150,9828,35150,10043,8317,3596,0
13,35,740781,287945,15276,21517,15276,8604,2687,3468,0
14,29,273247,59436,20859,2655,20859,7729,1068,1135,0
10,24,174441,207707,13881,28612,13881,2185,2307,2897,0
14,24,64097,36059,1175,10063,1175,2254,1279,2339,0
14,20,49774,70406,1331,3733,1331,1433,1253,564,0
16,27,695351,44794,57223,6792,57223,11091,3310,2389,0
48,48,241165,17198,37758,36650,37758,15739,3421,1197,0
53,48,503040,362740,67053,44160,67053,39414,18793,6512,0
60,67,850703,111511,74344,36671,74344,7043,5642,7773,0
51,57,461272,317532,50437,33810,50437,16750,14750,16244,0
47,40,859631,36364,5109,4930,5109,5535,5600,2841,0
37,43,535507,8642,3336,1016,3336,411,319,459,0
41,26,111557,26927,684,2245,684,1423,816,804,0
40,17,270575,289152,15299,11993,15299,12415,19409,7403,0
43,17,1702666,62983,6674,12642,6674,12866,1992,3733,0
50,17,224787,110248,33045,32561,33045,9681,5353,1363,0
60,29,1583892,98718,33687,11090,33687,18250,9056,6093,0
67,35,2152826,268655,32487,22463,32487,30432,5342,5727,0
63,38,427917,39258,14274,4479,14274,5737,3467,1478,0
74,38,1385021,66557,8859,33846,8859,14655,6250,5217,0
64,41,216838,14901,1880,6845,1880,1435,2518,1053,0
56,50,2718666,286819,20160,133217,20160,16685,12048,7898,0
54,47,759978,48736,11545,12794,11545,5664,9070,6870,2
44,48,617039,33432,13520,6941,13520,3022,600,812,0
50,53,571621,42973,42676,12628,42676,9151,2467,2454,0
53,44,310148,80019,8905,6068,8905,5219,1004,1139,0
48,44,776936,66347,10669,10708,10669,5099,1648,912,0
50,53,1123796,77943,50250,71509,50250,11955,5363,3606,0
43,50,483280,26155,9126,17311,9126,2678,1968,1233,0
43,54,314290,38283,4914,5424,4914,2498,1707,510,2
34,60,696376,162272,59937,42952,59937,6752,5595,4322,0
30,53,163188,9826,4729,2086,4729,837,594,234,0
38,78,219847,22648,13029,43389,13029,7302,4999,3000,0
44,70,399332,168954,31178,21940,31178,10992,14402,4964,2